timestamp,Date,Hour,Dept,Com,Address,Zip code,Corner,Segment,Address1,Address2,Vehicle 1 description,Vehicle 1,Vehicle 2 Description,Vehicle 2,Vehicle 3 Description,Vehicle 3,Person 1 Category,Person 1 Status,Person Tag,Person 2 Category,Person 2 Status,Person 2 Tag,Person 3 Cat,Person 3 Status,Person 3 Tag,Person 4 Cat,Person 4 Status,Person 4 Tag,fullAddress,latitude,longitude,season,involvedCount,periodOfDay
16/10/2012 10:15,16/10/2012,10:15,75,101,"1, PLACE DU CHATELET",,1_75101_6801,,"1, PLACE DU CHATELET, 75001 Paris",AVENUE VICTORIA,Motorbike,RESPONSIBLE,,,,,Cond,Injured,RESPONSIBLE,,,,,,,,,,"1, PLACE DU CHATELET, 75001 Paris",48.8575996,2.3467545,autumn,1,morning
15/03/2012 17:10,15/03/2012,17:10,75,101,"41, RUE DE RIVOLI",,1_75101_6850,,"41, RUE DE RIVOLI, 75001 Paris",BOULEVARD DE SEBASTOPOL,Bicycle,RESPONSIBLE,,,,,Cond,Injured,RESPONSIBLE,Troll,Safe,RESPONSIBLE,,,,,,,"41, RUE DE RIVOLI, 75001 Paris",48.85842,2.3477402,winter,1,afternoon
19/04/2013 11:10,19/04/2013,11:10,75,101,"41, RUE DE RIVOLI",,1_75101_6850,,"41, RUE DE RIVOLI, 75001 Paris",BOULEVARD DE SEBASTOPOL,Van,RESPONSIBLE,,,,,Cond,Safe,RESPONSIBLE,Pedestrian,Injured,RESPONSIBLE,,,,,,,"41, RUE DE RIVOLI, 75001 Paris",48.85842,2.3477402,spring,1,morning
12/01/2012 22:30,12/01/2012,22:30,75,101,"19, RUE ETIENNE MARCEL",,1_75101_6945,,"19, RUE ETIENNE MARCEL, 75001 Paris",RUE DE TURBIGO,Motor Scooter,RESPONSIBLE,Motor Scooter,VICTIM,,,Cond,Safe,RESPONSIBLE,Cond,Safe,VICTIM,Pedestrian,Injured,RESPONSIBLE,,,,"19, RUE ETIENNE MARCEL, 75001 Paris",48.8638538,2.3483359,winter,2,evening
29/10/2013 01:10,29/10/2013,01:10,75,101,"29, BOULEVARD DE SEBASTO",,1_75101_7026,,"29, BOULEVARD DE SEBASTO, 75001 Paris",RUE DE LA COSSONNERIE,Car,RESPONSIBLE,Motor Scooter,VICTIM,,,Cond,Safe,RESPONSIBLE,Cond,Injured,VICTIM,,,,,,,"29, BOULEVARD DE SEBASTO, 75001 Paris",48.8605694,2.349372,autumn,2,
06/09/2013 16:00,06/09/2013,16:00,75,101,"61, BOULEVARD DE SEBASTO",,1_75101_7173,,"61, BOULEVARD DE SEBASTO, 75001 Paris",RUE ETIENNE MARCEL,Car,RESPONSIBLE,Car,VICTIM,Motor Scooter,VICTIM,Cond,Safe,RESPONSIBLE,Cond,Safe,VICTIM,Cond,Injured,VICTIM,Pass,Injured,VICTIM,"61, BOULEVARD DE SEBASTO, 75001 Paris",48.8631033,2.3507372,summer,3,afternoon
18/09/2013 15:25,18/09/2013,15:25,75,101,QUAI FRANCOIS MITTERRAND,,,,"QUAI FRANCOIS MITTERRAND, 75001 Paris",,Transport bus,RESPONSIBLE,Bus,VICTIM,,,Pass,Injured,RESPONSIBLE,Cond,Safe,RESPONSIBLE,Cond,Safe,VICTIM,,,,"QUAI FRANCOIS MITTERRAND, 75001 Paris",48.8598529,2.3345415,summer,2,afternoon
17/02/2013 17:20,17/02/2013,17:20,75,101,"10, QUAI FRANCOIS MITTER",,,,"10, QUAI FRANCOIS MITTER, 75001 Paris",,Motor Scooter,RESPONSIBLE,Motor Scooter,VICTIM,,,Cond,Safe,VICTIM,Cond,Injured,RESPONSIBLE,,,,,,,"10, QUAI FRANCOIS MITTER, 75001 Paris",48.8640493,2.3310526,winter,2,afternoon
25/09/2013 18:15,25/09/2013,18:15,75,101,"19, RUE SAINT GERMAIN L",,,,"19, RUE SAINT GERMAIN L, 75001 Paris",,Car,RESPONSIBLE,,,,,Cond,Safe,RESPONSIBLE,Pedestrian,Injured,RESPONSIBLE,,,,,,,"19, RUE SAINT GERMAIN L, 75001 Paris",48.8583015,2.3440738,autumn,1,evening
28/09/2013 10:00,28/09/2013,10:00,75,101,"1, PLACE DU CARROUSEL",,,,"1, PLACE DU CARROUSEL, 75001 Paris",,Motor Scooter,RESPONSIBLE,,,,,Cond,Injured,RESPONSIBLE,,,,,,,,,,"1, PLACE DU CARROUSEL, 75001 Paris",48.8602768,2.3331928,autumn,1,morning
11/09/2013 12:35,11/09/2013,12:35,75,101,"1, PLACE DU CARROUSEL",,,,"1, PLACE DU CARROUSEL, 75001 Paris",,Bicycle,RESPONSIBLE,,,,,Cond,Injured,RESPONSIBLE,,,,,,,,,,"1, PLACE DU CARROUSEL, 75001 Paris",48.8602768,2.3331928,summer,1,lunch
18/12/2012 16:39,18/12/2012,16:39,75,101,"0, QUAI DES TUILERIES",,,,"0, QUAI DES TUILERIES, 75001 Paris",,Motor Scooter,RESPONSIBLE,,,,,Cond,Injured,RESPONSIBLE,,,,,,,,,,"0, QUAI DES TUILERIES, 75001 Paris",48.8629793,2.3237414,autumn,1,afternoon
15/12/2012 20:29,15/12/2012,20:29,75,101,QUAI DES TUILERIES,,,,"QUAI DES TUILERIES, 75001 Paris",,Motor Scooter,RESPONSIBLE,,,,,Cond,Injured,RESPONSIBLE,,,,,,,,,,"QUAI DES TUILERIES, 75001 Paris",48.8609519,2.3300513,autumn,1,evening
13/12/2013 18:10,13/12/2013,18:10,75,101,QUAI DES TUILERIES,,,,"QUAI DES TUILERIES, 75001 Paris",,Motorbike,RESPONSIBLE,,,,,Cond,Injured,RESPONSIBLE,,,,,,,,,,"QUAI DES TUILERIES, 75001 Paris",48.8609519,2.3300513,autumn,1,evening
23/12/2013 11:50,23/12/2013,11:50,75,101,QUAI DES TUILERIES,,,,"QUAI DES TUILERIES, 75001 Paris",,Motor Scooter,RESPONSIBLE,,,,,Cond,Injured,RESPONSIBLE,,,,,,,,,,"QUAI DES TUILERIES, 75001 Paris",48.8609519,2.3300513,winter,1,lunch
09/09/2012 03:15,09/09/2012,03:15,75,101,"1, SOUTERRAIN TUILERIES",,,,"1, SOUTERRAIN TUILERIES, 75001 Paris",,Car,RESPONSIBLE,Motor Scooter,VICTIM,,,Cond,Injured,RESPONSIBLE,Cond,Injured,VICTIM,,,,,,,"1, SOUTERRAIN TUILERIES, 75001 Paris",48.8640493,2.3310526,summer,2,
01/09/2012 23:40,01/09/2012,23:40,75,101,QUAI DES TUILERIES,,,,"QUAI DES TUILERIES, 75001 Paris",,Motorbike,RESPONSIBLE,,,,,Cond,Injured,RESPONSIBLE,Pass,Injured,RESPONSIBLE,,,,,,,"QUAI DES TUILERIES, 75001 Paris",48.8609519,2.3300513,summer,1,
05/11/2012 09:15,05/11/2012,09:15,75,101,QUAI DES TUILERIES,,,,"QUAI DES TUILERIES, 75001 Paris",,Motor Scooter,RESPONSIBLE,,,,,Cond,Injured,RESPONSIBLE,,,,,,,,,,"QUAI DES TUILERIES, 75001 Paris",48.8609519,2.3300513,autumn,1,morning
20/12/2013 15:50,20/12/2013,15:50,75,101,"3, RUE DES PYRAMIDES",,,,"3, RUE DES PYRAMIDES, 75001 Paris",,Car,RESPONSIBLE,Bicycle,VICTIM,,,Cond,Safe,RESPONSIBLE,Cond,Injured,VICTIM,,,,,,,"3, RUE DES PYRAMIDES, 75001 Paris",48.8643253,2.3323549,autumn,2,afternoon
15/03/2012 13:00,15/03/2012,13:00,75,101,"350, RUE SAINT HONORE",,,,"350, RUE SAINT HONORE, 75001 Paris",,Car,RESPONSIBLE,Motor Scooter,VICTIM,,,Cond,Safe,RESPONSIBLE,Cond,Injured,VICTIM,,,,,,,"350, RUE SAINT HONORE, 75001 Paris",48.86634,2.3296381,winter,2,lunch
23/03/2013 15:20,23/03/2013,15:20,75,101,"350, RUE SAINT HONORE",,,,"350, RUE SAINT HONORE, 75001 Paris",,Car,RESPONSIBLE,Motorbike,VICTIM,,,Cond,Safe,RESPONSIBLE,Cond,Injured,VICTIM,Pass,Injured,VICTIM,,,,"350, RUE SAINT HONORE, 75001 Paris",48.86634,2.3296381,spring,2,afternoon
06/12/2013 16:00,06/12/2013,16:00,75,101,BOULEVARD DU PALAIS,,,,"BOULEVARD DU PALAIS, 75001 Paris",,Motor Scooter,RESPONSIBLE,,,,,Cond,Safe,RESPONSIBLE,Pedestrian,Injured,RESPONSIBLE,,,,,,,"BOULEVARD DU PALAIS, 75001 Paris",48.8552927,2.3458801,autumn,1,afternoon
20/07/2012 15:05,20/07/2012,15:05,75,101,PONT AU CHANGE,,,,"PONT AU CHANGE, 75001 Paris",,Car,RESPONSIBLE,Bicycle,VICTIM,,,Cond,Safe,RESPONSIBLE,Cond,Injured,VICTIM,,,,,,,"PONT AU CHANGE, 75001 Paris",48.8565479,2.346666,summer,2,afternoon
04/02/2012 16:20,04/02/2012,16:20,75,102,"18, RUE DAUNOU",,1_75102_5006,,"18, RUE DAUNOU, 75002 Paris",RUE DE LA PAIX,Bicycle,RESPONSIBLE,Car,VICTIM,,,Cond,Injured,RESPONSIBLE,,,,,,,,,,"18, RUE DAUNOU, 75002 Paris",48.8700067,2.3310513,winter,2,afternoon
03/06/2012 19:30,03/06/2012,19:30,75,102,"3, PLACE DE L OPERA",,1_75102_5066,,"3, PLACE DE L OPERA, 75002 Paris",RUE DE LA PAIX,Car,RESPONSIBLE,Motor Scooter,VICTIM,,,Cond,Safe,RESPONSIBLE,Cond,Injured,VICTIM,,,,,,,"3, PLACE DE L OPERA, 75002 Paris",48.8701564,2.3327207,spring,2,evening
25/01/2013 21:30,25/01/2013,21:30,75,102,PLACE DE L OPERA,,1_75102_5093,,"PLACE DE L OPERA, 75002 Paris",AVENUE DE L OPERA,Bicycle,RESPONSIBLE,Car,VICTIM,Car,VICTIM,Cond,Safe,VICTIM,Cond,Hospitalized,RESPONSIBLE,Cond,Safe,VICTIM,,,,"PLACE DE L OPERA, 75002 Paris",48.8702732,2.3326326,winter,3,evening
14/07/2013 03:15,14/07/2013,03:15,75,102,"42, AVENUE DE L OPERA",,1_75102_5093,,"42, AVENUE DE L OPERA, 75002 Paris",PLACE DE L OPERA,Car,RESPONSIBLE,Motor Scooter,VICTIM,,,Cond,Injured,VICTIM,Cond,Safe,RESPONSIBLE,Pass,Injured,VICTIM,,,,"42, AVENUE DE L OPERA, 75002 Paris",48.8698657,2.3326639,summer,2,
07/02/2012 07:45,07/02/2012,07:45,75,102,", PLACE DE L OPERA",,1_75102_5106,,", PLACE DE L OPERA, 75002 Paris",BOULEVARD DES CAPUCINES,Van,RESPONSIBLE,Motor Scooter,VICTIM,,,Cond,Safe,RESPONSIBLE,Cond,Injured,VICTIM,,,,,,,", PLACE DE L OPERA, 75002 Paris",48.8702732,2.3326326,winter,2,morning
22/11/2012 08:00,22/11/2012,08:00,75,102,"59, RUE DE RICHELIEU",,1_75102_5577,,"59, RUE DE RICHELIEU, 75002 Paris",RUE DES PETITS CHAMPS,Motor Scooter,RESPONSIBLE,Transport bus,VICTIM,,,Cond,Injured,RESPONSIBLE,Cond,Safe,VICTIM,,,,,,,"59, RUE DE RICHELIEU, 75002 Paris",48.8669756,2.3372009,autumn,2,morning
29/10/2012 12:25,29/10/2012,12:25,75,102,"69, RUE DE RICHELIEU",,1_75102_5634,,"69, RUE DE RICHELIEU, 75002 Paris",RUE RAMEAU,Van,RESPONSIBLE,Motorbike,VICTIM,,,Cond,Safe,RESPONSIBLE,Cond,Injured,VICTIM,,,,,,,"69, RUE DE RICHELIEU, 75002 Paris",48.86760599999999,2.3375705,autumn,2,lunch
27/05/2012 20:05,27/05/2012,20:05,75,102,"11, BOULEVARD DES ITALIE",,1_75102_5672,,"11, BOULEVARD DES ITALIE, 75002 Paris",RUE FAVART,Car,RESPONSIBLE,Motor Scooter,VICTIM,,,Cond,Safe,RESPONSIBLE,Pass,Injured,VICTIM,Cond,Injured,VICTIM,,,,"11, BOULEVARD DES ITALIE, 75002 Paris",48.8714058,2.3379807,spring,2,evening
08/08/2013 09:30,08/08/2013,09:30,75,102,"75, RUE DE RICHELIEU",,1_75102_5705,,"75, RUE DE RICHELIEU, 75002 Paris",RUE SAINT AUGUSTIN,Car,RESPONSIBLE,,,,,Cond,Safe,RESPONSIBLE,Pedestrian,Injured,RESPONSIBLE,,,,,,,"75, RUE DE RICHELIEU, 75002 Paris",48.8687614,2.3382252,summer,1,morning
